0	0	0
1	0.00	20.00
2	0.00	18.00
3	0.00	16.00
4	0.00	14.00
5	0.00	12.00
6	0.00	10.00
7	0.00	8.00
8	0.00	6.00
9	0.00	4.00
10	0.00	2.00
11	0.00	0.00
12	80.00	40.00
13	78.00	40.00
14	76.00	40.00
15	74.00	40.00
16	72.00	40.00
17	70.00	40.00
18	68.00	40.00
19	66.00	40.00
20	64.00	40.00
21	62.00	40.00
22	60.00	40.00
23	60.00	38.00
24	60.00	36.00
25	60.00	34.00
26	60.00	32.00
27	60.00	30.00
28	60.00	28.00
29	60.00	26.00
30	60.00	24.00
31	60.00	22.00
32	60.00	20.00
33	2.00	0.00
34	4.00	0.00
35	6.00	0.00
36	8.00	0.00
37	10.00	0.00
38	12.00	0.00
39	14.00	0.00
40	16.00	0.00
41	18.00	0.00
42	20.00	0.00
43	22.00	0.00
44	24.00	0.00
45	26.00	0.00
46	28.00	0.00
47	30.00	0.00
48	32.00	0.00
49	34.00	0.00
50	36.00	0.00
51	38.00	0.00
52	40.00	0.00
53	42.00	0.00
54	44.00	0.00
55	46.00	0.00
56	48.00	0.00
57	50.00	0.00
58	52.00	0.00
59	54.00	0.00
60	56.00	0.00
61	58.00	0.00
62	60.00	0.00
63	62.00	0.00
64	64.00	0.00
65	66.00	0.00
66	68.00	0.00
67	70.00	0.00
68	72.00	0.00
69	74.00	0.00
70	76.00	0.00
71	78.00	0.00
72	80.00	0.00
73	58.00	20.00
74	56.00	20.00
75	54.00	20.00
76	52.00	20.00
77	50.00	20.00
78	48.00	20.00
79	46.00	20.00
80	44.00	20.00
81	42.00	20.00
82	40.00	20.00
83	38.00	20.00
84	36.00	20.00
85	34.00	20.00
86	32.00	20.00
87	30.00	20.00
88	28.00	20.00
89	26.00	20.00
90	24.00	20.00
91	22.00	20.00
92	20.00	20.00
93	18.00	20.00
94	16.00	20.00
95	14.00	20.00
96	12.00	20.00
97	10.00	20.00
98	8.00	20.00
99	6.00	20.00
100	4.00	20.00
101	2.00	20.00
102	80.00	2.00
103	80.00	4.00
104	80.00	6.00
105	80.00	8.00
106	80.00	10.00
107	80.00	12.00
108	80.00	14.00
109	80.00	16.00
110	80.00	18.00
111	80.00	20.00
112	80.00	22.00
113	80.00	24.00
114	80.00	26.00
115	80.00	28.00
116	80.00	30.00
117	80.00	32.00
118	80.00	34.00
119	80.00	36.00
120	80.00	38.00
121	67.00	5.00
122	67.00	35.00
123	73.00	35.00
124	73.00	5.00
125	73.00	33.50
126	73.00	32.00
127	73.00	30.50
128	73.00	29.00
129	73.00	27.50
130	73.00	26.00
131	73.00	24.50
132	73.00	23.00
133	73.00	21.50
134	73.00	20.00
135	73.00	18.50
136	73.00	17.00
137	73.00	15.50
138	73.00	14.00
139	73.00	12.50
140	73.00	11.00
141	73.00	9.50
142	73.00	8.00
143	73.00	6.50
144	67.00	6.50
145	67.00	8.00
146	67.00	9.50
147	67.00	11.00
148	67.00	12.50
149	67.00	14.00
150	67.00	15.50
151	67.00	17.00
152	67.00	18.50
153	67.00	20.00
154	67.00	21.50
155	67.00	23.00
156	67.00	24.50
157	67.00	26.00
158	67.00	27.50
159	67.00	29.00
160	67.00	30.50
161	67.00	32.00
162	67.00	33.50
163	68.00	35.00
164	69.00	35.00
165	70.00	35.00
166	71.00	35.00
167	72.00	35.00
168	72.00	5.00
